,Team,smallest_value,score
21, Japan,1,Champion
28, Norway,1,Champion
15, Germany,1,Champion
41, United States,1,Champion
2, Brazil,2,Finalist
6, China,2,Finalist
38, Sweden,2,Finalist
24, Netherlands,2,Finalist
14, France,3,Semifinals
12, England,3,Semifinals
4, Canada,3,Semifinals
10, Denmark,4,Quarterfinals
7, Chinese Taipei,4,Quarterfinals
18, Italy,4,Quarterfinals
33, Russia,4,Quarterfinals
1, Australia,4,Quarterfinals
27, North Korea,4,Quarterfinals
26, Nigeria,4,Quarterfinals
39, Switzerland,5,2nd Round
8, Colombia,5,2nd Round
3, Cameroon,5,2nd Round
37, Spain,5,2nd Round
36, South Korea,5,2nd Round
35, South Africa,6,1nd Round
34, Scotland,6,1nd Round
40, Thailand,6,1nd Round
0, Argentina,6,1nd Round
19, Ivory Coast,6,1nd Round
22, Mexico,6,1nd Round
5, Chile,6,1nd Round
9, Costa Rica,6,1nd Round
11, Ecuador,6,1nd Round
13, Equatorial Guinea,6,1nd Round
16, Ghana,6,1nd Round
20, Jamaica,6,1nd Round
25, New Zealand,6,1nd Round
23, Morocco,7,
42, Vietnam,7,
32, Republic of Ireland,7,
31, Portugal,7,
30, Philippines,7,
29, Panama,7,
17, Haiti,7,
43, Zambia,7,
